@odata.etag,ItemInternalId,Organiser,Event Name,Category of the Event,Date of the Event,Start Time,Open To,Collaborators,Event Status,Venue
,8d156d21-5535-40c5-8071-a7da91757f55,Arts and Culture Committee (ACC) (AKU-MC),Mela Night,Recreational/Social,46156,6:00pm,3rd Year MBBS Students,None,Approved,Tea Garden
,98d02614-1123-44b5-b408-950adc7bd641,Arts and Culture Committee (ACC) (AKU-MC),Game Night,Recreational/Social,46154,5:00pm,3rd Year Mbbs students,None,Approved,"Poolside, SRC"
,91ab72ff-65a8-4bda-b18d-f9d10d71b449,Arts and Culture Committee (ACC) (AKU-MC),Quad Opening,Recreational/Social,46155,5:00pm,All medical college,None,Approved,Medical College Courtyard
,4b6a3d9f-fe50-4373-93ec-480c41f099b3,Arts and Culture Committee (ACC) (AKU-MC),Welcome party for the batch of 030s ,Recreational/Social,46151,7,MBBS batch of 030 and 029 ,Arts and Culture Committee (ACC) (AKU-MC),Approved,Tea Garden
,e15485f6-955d-4a6d-ac8e-dffb6b57edf8,Student Research Forum (SRF) (SONAM),Navigating the ERC: A Guide to Ethical Review for Nurses,Workshop/Session,46142,4:30 PM,SONAM students and Alumni,None,Approved,
,9b0a9639-a23d-4fef-8580-726923b7dd80,Journalism Club,Orientation ,Orientation,46146,5:00,Students and Faculty Members ,None,Approved,D-Lab
,f88b19e3-b2a4-42fc-8e70-29036c022725,Sports Society,Intrabatch futsal tournament,Sports,46134,8PM,30,None,Approved,
,ee9b7746-1a23-4a5d-8661-b54e19307fad,Arts and Culture Committee (AAC) (AKU-SONAM),Movie Night- A welcome evening for MScN 1 ,MOVIE NIGHT,46136,5:30 PM,MScN Year 1 and 2 ,None,Approved,
,52f10529-2324-417c-9709-6e1591e5a9d2,Student Research Forum (SRF) (MBBS),Anki workshop session,Workshop/Session,46147,5:00pm,First and second years,None,Approved,Lecture Hall 3
,843f857e-3303-4576-979d-e47caab07238,FALAH (MBBS),Mohsin Abro Counselling Workshop,Workshop/Session,46149,5:00 ,Junior and Senior Volunteers of the Mohsin Abro Office,None,Approved,
,ea7c82a8-dd2e-4b69-bb07-5147bc08f78a,Synergy (FAS),FAS Gala 3.0,Recreational/Social,46152,6:30,FAS,None,Approved,
,4152663a-25c8-4973-93b7-b2360a6478f2,Student Research Forum (SRF) (MBBS),SRF case proposal - 11th May and 12th May,Workshop/Session,46153,05:00,MBBS students,Student Research Forum (SRF) (MBBS),Approved,
,b1b0d19f-b944-464a-9e74-82ffd045b82a,Student Research Forum (SRF) (MBBS),Research in Medical School : An A to Z Approach ( Protocol Writing),Workshop/Session,46149,5:00 PM,Open to everyone at AKU,None,Approved,
,81561176-c888-4723-8930-46bd344db1b2,Society for Arts and Culture (SAC),Linocut workshop,Workshop/Session,46162,3:00,All aku students,None,Approved,
